534	Glasgow International Airport	Glasgow	United Kingdom	GLA	EGPF	0
535	Edinburgh Airport	Edinburgh	United Kingdom	EDI	EGPH	0
536	Islay Airport	Islay	United Kingdom	ILY	EGPI	0
537	Glasgow Prestwick Airport	Prestwick	United Kingdom	PIK	EGPK	0
538	Benbecula Airport	Benbecula	United Kingdom	BEB	EGPL	0
539	Scatsta Airport	Scatsta	United Kingdom	SCS	EGPM	0
540	Dundee Airport	Dundee	United Kingdom	DND	EGPN	0
541	Stornoway Airport	Stornoway	United Kingdom	SYY	EGPO	0
542	Tiree Airport	Tiree	United Kingdom	TRE	EGPU	0
543	RAF Leuchars	Leuchars	United Kingdom	ADX	EGQL	0
